Year,Engine_Size,Mileage,Fuel_Type,Transmission,Price
2020,4.2,289944,Diesel,Manual,8501
2012,2.0,5356,Hybrid,Automatic,12092
2020,4.2,231440,Diesel,Automatic,11171
2023,2.0,160971,Electric,Manual,11780
2003,2.6,286618,Hybrid,Semi-Automatic,2867
2007,2.7,157889,Petrol,Automatic,7242
2010,3.4,139584,Electric,Automatic,11208
2001,4.7,157495,Electric,Semi-Automatic,7950
2014,2.6,98700,Hybrid,Manual,9926
2005,3.1,107724,Petrol,Manual,6545
2013,1.3,296824,Hybrid,Automatic,5863
2009,4.5,42795,Hybrid,Manual,11444
2007,4.8,132875,Hybrid,Automatic,10842
2004,2.3,188996,Hybrid,Semi-Automatic,4820
2003,2.4,145921,Petrol,Automatic,5981
2007,3.2,60103,Diesel,Automatic,9697
2017,2.9,38133,Electric,Automatic,14837
2006,4.5,41161,Electric,Manual,11576
2000,3.4,257427,Diesel,Semi-Automatic,2351
2021,1.5,34640,Petrol,Manual,11207
2018,1.8,21261,Hybrid,Automatic,13374
2000,4.6,41814,Hybrid,Semi-Automatic,8863
2003,2.0,136662,Electric,Manual,6266
2006,2.8,99921,Hybrid,Manual,7701
2016,3.9,19868,Petrol,Semi-Automatic,12402
2011,1.8,92188,Diesel,Automatic,8856
2022,3.3,79350,Electric,Manual,14413
2017,2.3,142701,Electric,Semi-Automatic,10645
2020,4.7,210767,Electric,Semi-Automatic,12584
2013,1.9,121816,Hybrid,Automatic,9963
2007,3.9,213643,Electric,Automatic,9327
2008,3.5,88381,Electric,Manual,10232
2017,2.3,183619,Petrol,Automatic,9327
2013,3.3,80184,Electric,Semi-Automatic,11696
2010,3.2,132454,Diesel,Automatic,9150
2005,4.5,18590,Petrol,Manual,9728
2013,3.5,263411,Hybrid,Semi-Automatic,7231
2000,1.4,167050,Electric,Manual,4159
2017,2.2,277363,Hybrid,Manual,6852
2004,1.0,94415,Petrol,Manual,4411
2004,1.2,93645,Electric,Manual,6627
2007,4.9,120491,Petrol,Manual,8690
2000,3.9,56020,Hybrid,Manual,7879
2003,3.9,131868,Electric,Automatic,9762
2023,3.6,238306,Electric,Manual,11833
2011,2.3,255372,Diesel,Automatic,6092
2009,2.4,263797,Diesel,Manual,3924
2006,2.8,110280,Electric,Manual,8494
2009,1.2,111448,Electric,Automatic,9271
2013,1.9,205005,Petrol,Manual,5799
2004,4.9,175273,Petrol,Semi-Automatic,6694
2022,3.8,191466,Diesel,Manual,10670
2008,1.8,280713,Electric,Semi-Automatic,4685
2015,2.6,66777,Electric,Semi-Automatic,11864
2020,3.2,88070,Electric,Manual,13538
2011,2.9,281020,Electric,Semi-Automatic,6679
2017,1.8,22175,Diesel,Semi-Automatic,10556
2003,2.0,287728,Electric,Manual,3245
2007,3.6,102907,Electric,Automatic,11241
2005,2.4,60316,Petrol,Automatic,8293
2008,1.3,188097,Petrol,Automatic,5538
2004,4.0,85348,Diesel,Automatic,9093
2015,4.8,100603,Electric,Automatic,14887
2007,2.7,147310,Hybrid,Manual,6953
2011,4.0,140263,Diesel,Manual,8594
2005,3.2,155550,Electric,Semi-Automatic,7689
2000,4.0,237232,Hybrid,Manual,4355
2002,4.0,272351,Hybrid,Semi-Automatic,4252
2008,4.6,164879,Petrol,Manual,7802
2018,2.8,160349,Petrol,Manual,9093
2007,1.5,30793,Diesel,Manual,7084
2019,1.9,6745,Electric,Automatic,15065
2007,4.9,23217,Hybrid,Manual,11635
2017,2.7,242456,Hybrid,Automatic,9550
2017,1.3,152123,Hybrid,Automatic,9957
2022,3.4,248894,Diesel,Automatic,10622
2007,2.3,76458,Electric,Manual,8970
2017,3.9,2020,Hybrid,Semi-Automatic,14059
2018,2.0,121567,Hybrid,Automatic,11568
2023,3.5,139477,Petrol,Semi-Automatic,11710
2007,4.5,53088,Electric,Manual,11638
2020,1.7,195565,Petrol,Automatic,9388
2004,4.8,141850,Hybrid,Semi-Automatic,8263
2020,4.6,191397,Petrol,Manual,10872
2015,1.6,259533,Electric,Manual,7009
2015,4.1,197249,Petrol,Automatic,10255
2007,3.8,272609,Electric,Manual,6547
2013,1.1,294516,Diesel,Manual,3209
2001,2.9,258813,Diesel,Manual,2123
2014,4.1,17100,Petrol,Automatic,13558
2017,4.6,197307,Diesel,Manual,9853
2007,4.2,129851,Petrol,Automatic,9302
2011,1.8,261247,Diesel,Semi-Automatic,3975
2016,2.5,121855,Electric,Semi-Automatic,10962
2011,2.6,107928,Petrol,Manual,7841
2011,4.7,203960,Petrol,Automatic,9520
2009,3.0,17260,Electric,Manual,11454
2022,3.8,275109,Electric,Semi-Automatic,10997
2016,2.8,203314,Hybrid,Semi-Automatic,8633
2014,2.8,190214,Hybrid,Automatic,9795
2013,5.0,188195,Electric,Automatic,12736
2010,2.0,228204,Hybrid,Manual,5535
2001,2.3,66264,Diesel,Semi-Automatic,5374
2022,4.5,162696,Electric,Semi-Automatic,13946
2005,2.2,191462,Diesel,Manual,3970
2001,4.0,8958,Diesel,Manual,8220
2012,2.6,11213,Hybrid,Manual,11075
2003,3.8,236022,Electric,Semi-Automatic,6079
2019,3.9,13333,Hybrid,Semi-Automatic,14433
2023,4.6,274137,Electric,Semi-Automatic,12117
2010,3.4,8662,Diesel,Manual,10326
2018,2.3,99243,Electric,Semi-Automatic,11815
2013,3.5,167809,Hybrid,Semi-Automatic,9143
2018,3.0,180938,Hybrid,Semi-Automatic,9881
2018,4.0,66347,Petrol,Manual,12173
2007,1.4,279031,Petrol,Manual,2019
2013,2.8,63430,Petrol,Manual,9531
2014,2.1,191744,Petrol,Manual,6565
2023,3.9,58107,Hybrid,Semi-Automatic,14737
2002,4.5,86763,Diesel,Manual,7464
2020,3.8,257521,Diesel,Automatic,10249
2013,4.0,213052,Diesel,Manual,7738
2017,1.9,117943,Petrol,Semi-Automatic,8741
2008,4.5,178837,Electric,Semi-Automatic,9423
2002,3.9,281616,Diesel,Semi-Automatic,2967
2013,1.4,131485,Diesel,Automatic,8270
2013,3.9,21399,Electric,Manual,13472
2020,3.7,148489,Petrol,Semi-Automatic,10830
2017,3.1,189399,Electric,Manual,10512
2008,3.5,179107,Petrol,Semi-Automatic,6417
2015,4.7,220366,Diesel,Manual,8892
2020,4.7,132200,Petrol,Manual,12156
2009,1.8,151249,Diesel,Automatic,7075
2009,2.0,184695,Petrol,Manual,5106
2001,4.1,32602,Petrol,Automatic,9347
2013,3.2,253611,Electric,Manual,8127
2020,4.3,187223,Hybrid,Manual,11655
2004,3.0,232438,Hybrid,Manual,4651
2019,4.7,114139,Petrol,Manual,12217
2004,1.3,79437,Electric,Automatic,8511
2019,2.2,127801,Diesel,Manual,9443
2002,1.5,23115,Petrol,Automatic,7237
2010,3.9,26930,Petrol,Automatic,11961
2021,2.1,289967,Petrol,Manual,6700
2001,3.2,42064,Petrol,Manual,6758
2018,3.5,233614,Electric,Manual,10327
2023,4.1,67072,Electric,Automatic,17258
2017,2.5,256380,Electric,Manual,8572
2010,1.9,159546,Petrol,Semi-Automatic,5809
2014,3.8,5877,Electric,Semi-Automatic,13982
2002,4.9,33244,Hybrid,Automatic,11435
2013,4.8,206381,Petrol,Manual,8672
2016,4.0,175833,Diesel,Automatic,10883
