Engine_Size,Mileage,Price,Age,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Manual,Transmission_Semi-Automatic
4.2,289944,8501,5,False,False,False,True,False
2.0,5356,12092,13,False,True,False,False,False
4.2,231440,11171,5,False,False,False,False,False
2.0,160971,11780,2,True,False,False,True,False
2.6,286618,2867,22,False,True,False,False,True
2.7,157889,7242,18,False,False,True,False,False
3.4,139584,11208,15,True,False,False,False,False
4.7,157495,7950,24,True,False,False,False,True
2.6,98700,9926,11,False,True,False,True,False
3.1,107724,6545,20,False,False,True,True,False
1.3,296824,5863,12,False,True,False,False,False
4.5,42795,11444,16,False,True,False,True,False
4.8,132875,10842,18,False,True,False,False,False
2.3,188996,4820,21,False,True,False,False,True
2.4,145921,5981,22,False,False,True,False,False
3.2,60103,9697,18,False,False,False,False,False
2.9,38133,14837,8,True,False,False,False,False
4.5,41161,11576,19,True,False,False,True,False
3.4,257427,2351,25,False,False,False,False,True
1.5,34640,11207,4,False,False,True,True,False
1.8,21261,13374,7,False,True,False,False,False
4.6,41814,8863,25,False,True,False,False,True
2.0,136662,6266,22,True,False,False,True,False
2.8,99921,7701,19,False,True,False,True,False
3.9,19868,12402,9,False,False,True,False,True
1.8,92188,8856,14,False,False,False,False,False
3.3,79350,14413,3,True,False,False,True,False
2.3,142701,10645,8,True,False,False,False,True
4.7,210767,12584,5,True,False,False,False,True
1.9,121816,9963,12,False,True,False,False,False
3.9,213643,9327,18,True,False,False,False,False
3.5,88381,10232,17,True,False,False,True,False
2.3,183619,9327,8,False,False,True,False,False
3.3,80184,11696,12,True,False,False,False,True
3.2,132454,9150,15,False,False,False,False,False
4.5,18590,9728,20,False,False,True,True,False
3.5,263411,7231,12,False,True,False,False,True
1.4,167050,4159,25,True,False,False,True,False
2.2,277363,6852,8,False,True,False,True,False
1.0,94415,4411,21,False,False,True,True,False
1.2,93645,6627,21,True,False,False,True,False
4.9,120491,8690,18,False,False,True,True,False
3.9,56020,7879,25,False,True,False,True,False
3.9,131868,9762,22,True,False,False,False,False
3.6,238306,11833,2,True,False,False,True,False
2.3,255372,6092,14,False,False,False,False,False
2.4,263797,3924,16,False,False,False,True,False
2.8,110280,8494,19,True,False,False,True,False
1.2,111448,9271,16,True,False,False,False,False
1.9,205005,5799,12,False,False,True,True,False
4.9,175273,6694,21,False,False,True,False,True
3.8,191466,10670,3,False,False,False,True,False
1.8,280713,4685,17,True,False,False,False,True
2.6,66777,11864,10,True,False,False,False,True
3.2,88070,13538,5,True,False,False,True,False
2.9,281020,6679,14,True,False,False,False,True
1.8,22175,10556,8,False,False,False,False,True
2.0,287728,3245,22,True,False,False,True,False
3.6,102907,11241,18,True,False,False,False,False
2.4,60316,8293,20,False,False,True,False,False
1.3,188097,5538,17,False,False,True,False,False
4.0,85348,9093,21,False,False,False,False,False
4.8,100603,14887,10,True,False,False,False,False
2.7,147310,6953,18,False,True,False,True,False
4.0,140263,8594,14,False,False,False,True,False
3.2,155550,7689,20,True,False,False,False,True
4.0,237232,4355,25,False,True,False,True,False
4.0,272351,4252,23,False,True,False,False,True
4.6,164879,7802,17,False,False,True,True,False
2.8,160349,9093,7,False,False,True,True,False
1.5,30793,7084,18,False,False,False,True,False
1.9,6745,15065,6,True,False,False,False,False
4.9,23217,11635,18,False,True,False,True,False
2.7,242456,9550,8,False,True,False,False,False
1.3,152123,9957,8,False,True,False,False,False
3.4,248894,10622,3,False,False,False,False,False
2.3,76458,8970,18,True,False,False,True,False
3.9,2020,14059,8,False,True,False,False,True
2.0,121567,11568,7,False,True,False,False,False
3.5,139477,11710,2,False,False,True,False,True
4.5,53088,11638,18,True,False,False,True,False
1.7,195565,9388,5,False,False,True,False,False
4.8,141850,8263,21,False,True,False,False,True
4.6,191397,10872,5,False,False,True,True,False
1.6,259533,7009,10,True,False,False,True,False
4.1,197249,10255,10,False,False,True,False,False
3.8,272609,6547,18,True,False,False,True,False
1.1,294516,3209,12,False,False,False,True,False
2.9,258813,2123,24,False,False,False,True,False
4.1,17100,13558,11,False,False,True,False,False
4.6,197307,9853,8,False,False,False,True,False
4.2,129851,9302,18,False,False,True,False,False
1.8,261247,3975,14,False,False,False,False,True
2.5,121855,10962,9,True,False,False,False,True
2.6,107928,7841,14,False,False,True,True,False
4.7,203960,9520,14,False,False,True,False,False
3.0,17260,11454,16,True,False,False,True,False
3.8,275109,10997,3,True,False,False,False,True
2.8,203314,8633,9,False,True,False,False,True
2.8,190214,9795,11,False,True,False,False,False
5.0,188195,12736,12,True,False,False,False,False
2.0,228204,5535,15,False,True,False,True,False
2.3,66264,5374,24,False,False,False,False,True
4.5,162696,13946,3,True,False,False,False,True
2.2,191462,3970,20,False,False,False,True,False
4.0,8958,8220,24,False,False,False,True,False
2.6,11213,11075,13,False,True,False,True,False
3.8,236022,6079,22,True,False,False,False,True
3.9,13333,14433,6,False,True,False,False,True
4.6,274137,12117,2,True,False,False,False,True
3.4,8662,10326,15,False,False,False,True,False
2.3,99243,11815,7,True,False,False,False,True
3.5,167809,9143,12,False,True,False,False,True
3.0,180938,9881,7,False,True,False,False,True
4.0,66347,12173,7,False,False,True,True,False
1.4,279031,2019,18,False,False,True,True,False
2.8,63430,9531,12,False,False,True,True,False
2.1,191744,6565,11,False,False,True,True,False
3.9,58107,14737,2,False,True,False,False,True
4.5,86763,7464,23,False,False,False,True,False
3.8,257521,10249,5,False,False,False,False,False
4.0,213052,7738,12,False,False,False,True,False
1.9,117943,8741,8,False,False,True,False,True
4.5,178837,9423,17,True,False,False,False,True
3.9,281616,2967,23,False,False,False,False,True
1.4,131485,8270,12,False,False,False,False,False
3.9,21399,13472,12,True,False,False,True,False
3.7,148489,10830,5,False,False,True,False,True
3.1,189399,10512,8,True,False,False,True,False
3.5,179107,6417,17,False,False,True,False,True
4.7,220366,8892,10,False,False,False,True,False
4.7,132200,12156,5,False,False,True,True,False
1.8,151249,7075,16,False,False,False,False,False
2.0,184695,5106,16,False,False,True,True,False
4.1,32602,9347,24,False,False,True,False,False
3.2,253611,8127,12,True,False,False,True,False
4.3,187223,11655,5,False,True,False,True,False
3.0,232438,4651,21,False,True,False,True,False
4.7,114139,12217,6,False,False,True,True,False
1.3,79437,8511,21,True,False,False,False,False
2.2,127801,9443,6,False,False,False,True,False
1.5,23115,7237,23,False,False,True,False,False
3.9,26930,11961,15,False,False,True,False,False
2.1,289967,6700,4,False,False,True,True,False
3.2,42064,6758,24,False,False,True,True,False
3.5,233614,10327,7,True,False,False,True,False
4.1,67072,17258,2,True,False,False,False,False
2.5,256380,8572,8,True,False,False,True,False
1.9,159546,5809,15,False,False,True,False,True
3.8,5877,13982,11,True,False,False,False,True
4.9,33244,11435,23,False,True,False,False,False
4.8,206381,8672,12,False,False,True,True,False
4.0,175833,10883,9,False,False,False,False,False
3.6,157073,6058,20,False,False,True,False,True
2.9,131766,12364,10,True,False,False,False,False
2.2,18630,6227,24,False,False,True,True,False
2.1,54522,11109,10,False,False,False,False,False
1.4,231290,6774,12,True,False,False,False,True
3.7,166776,6464,25,True,False,False,True,False
4.0,16302,8373,23,False,False,False,True,False
2.9,252824,7443,10,False,True,False,False,True
1.2,269614,4507,18,False,True,False,False,False
2.8,264697,3606,25,True,False,False,False,True
4.0,287926,6541,11,False,False,True,True,False
1.8,43196,6836,24,False,False,True,False,False
4.5,279971,3300,24,False,False,False,False,True
1.0,286745,2065,16,False,False,True,True,False
2.3,885,11682,14,True,False,False,False,True
3.5,93273,10634,12,False,True,False,False,True
3.7,110947,6781,21,False,False,False,False,True
1.2,166808,7363,7,False,False,True,True,False
3.8,186035,12279,3,False,False,False,False,False
1.0,68819,6223,20,False,True,False,False,True
3.7,157181,10056,7,False,False,True,False,True
3.9,97350,8153,18,False,False,True,False,True
3.5,271497,6970,9,False,False,False,True,False
4.3,225452,9790,12,True,False,False,False,True
3.8,51040,11379,15,False,False,True,False,False
4.2,7544,13749,13,True,False,False,False,True
2.6,264411,5111,16,False,True,False,False,True
4.3,153919,8921,13,False,False,True,True,False
1.7,115344,6493,15,False,False,True,True,False
2.9,106781,7564,16,False,False,False,False,True
1.0,279545,2809,14,False,False,True,True,False
1.7,11757,11564,5,False,False,True,True,False
2.4,230787,6084,11,False,False,True,False,True
3.7,216478,11970,5,False,True,False,False,False
2.6,134567,4908,22,False,False,False,False,True
4.5,162852,9142,19,True,False,False,True,False
3.9,112480,13650,2,False,True,False,False,True
1.9,60780,13384,8,True,False,False,False,False
3.2,21520,11969,13,False,False,False,False,False
2.1,199006,8819,8,False,False,False,False,False
2.0,11585,10168,19,False,True,False,False,False
2.8,79962,10000,16,True,False,False,True,False
3.9,95537,13789,11,True,False,False,False,False
4.3,229873,10102,4,False,False,False,True,False
1.3,195129,4297,19,False,True,False,True,False
4.0,136926,11161,14,False,True,False,False,False
3.2,85005,6499,22,False,False,True,False,True
2.7,172248,11955,8,True,False,False,False,False
4.3,179528,11409,8,False,False,True,False,False
2.3,1752,12564,11,True,False,False,True,False
3.2,25557,11188,17,True,False,False,True,False
3.9,211162,8376,18,False,True,False,False,False
4.0,182364,10152,11,False,False,True,False,False
1.6,112946,7941,15,False,False,True,False,False
2.1,122067,7958,16,False,False,True,False,False
3.5,296747,6065,17,True,False,False,False,True
2.8,23722,11825,7,False,False,True,False,True
1.8,161487,2670,25,False,False,True,True,False
4.1,99562,10408,16,False,False,True,False,False
1.9,107386,11252,7,True,False,False,True,False
4.0,32991,15240,4,False,False,False,False,False
1.7,156940,7761,8,False,False,False,True,False
2.2,87444,6651,18,False,False,False,True,False
1.4,232049,3559,16,False,False,True,True,False
1.2,114668,8206,16,False,True,False,False,False
4.8,297176,10056,8,True,False,False,False,True
